Designator,Mid X,Mid Y,Rotation,Layer
C101,22.987,-7.747,90.0,top
C102,34.4805,-5.321,270.0,top
C103,19.05,-14.478,0.0,top
C1101,16.356,-25.7865,180.0,top
C1102,19.01,-16.1345,180.0,top
C1103,16.737,-20.424501,90.0,top
C1104,21.689999,-17.4045,90.0,top
C1105,26.008,-24.643499,0.0,top
C1106,13.2588,-25.908,180.0,top
C1107,13.308,-19.563501,0.0,top
C1108,16.356,-23.7545,180.0,top
C1109,26.008,-22.6115,0.0,top
C1201,12.106,-33.0255,270.0,top
C1202,12.106,-36.0735,270.0,top
C1301,24.806,-33.0255,270.0,top
C1302,24.806,-36.0735,270.0,top
C1401,37.506,-33.0255,270.0,top
C1402,37.506,-36.0735,270.0,top
C1501,50.206,-33.0255,270.0,top
C1502,50.206,-36.0735,270.0,top
D101,15.9465,-10.795,90.0,top
D102,27.1145,-11.049,0.0,top
D1201,14.1125,-54.8695,0.0,top
D1301,26.8125,-54.8695,0.0,top
D1401,39.5125,-54.8695,0.0,top
D1501,52.2125,-54.8695,0.0,top
J101,16.4465,-4.205,180.0,top
J1201,13.95,-45.7795,90.0,top
J1301,26.65,-45.7795,90.0,top
J1401,39.35,-45.7795,90.0,top
J1501,52.05,-45.7795,90.0,top
R101,17.5895,-10.541,270.0,top
R102,14.2875,-10.541,270.0,top
R103,19.304,-12.065,0.0,top
R104,19.304,-13.081,180.0,top
R105,30.1625,-11.049,0.0,top
R1101,21.422999,-15.8805,0.0,top
R1102,20.674,-17.9125,270.0,top
R1103,22.705999,-17.4065,270.0,top
R1104,16.384,-24.7705,0.0,top
R1105,18.261,-17.9125,270.0,top
R1106,19.658,-17.9125,270.0,top
R1107,26.008,-23.627499,180.0,top
R1108,26.67,-21.209,180.0,top
R1109,24.737999,-17.4065,270.0,top
R1110,23.721999,-17.4065,270.0,top
R1201,15.156,-37.0895,0.0,top
R1202,16.627,-54.8695,0.0,top
R1301,27.856,-37.0895,0.0,top
R1302,29.327,-54.8695,0.0,top
R1401,40.556,-37.0895,0.0,top
R1402,42.027,-54.8695,0.0,top
R1501,53.256,-37.0895,0.0,top
R1502,54.727,-54.8695,0.0,top
U101,29.2735,-6.223,0.0,top
U1101,21.182,-22.6115,90.0,top
U1201,14.773,-34.2955,270.0,top
U1301,27.473,-34.2955,270.0,top
U1401,40.173,-34.2955,270.0,top
U1501,52.873,-34.2955,270.0,top
Y1101,13.269,-22.6955,90.0,top
